REF_AREA,Country,Measure,UNIT_MEASURE,Unit of measure,Age,Sex,Education,Domain,Year,OBS_VALUE
DNK,Denmark,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,59.49713817
ITA,Italy,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,61.23115296
NLD,Netherlands,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,78.20533795
DEU,Germany,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,67.47249856
FRA,France,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,62.17770305
GRC,Greece,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,69.04221644
BEL,Belgium,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,57.65280958
CZE,Czechia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,86.24700438
ESP,Spain,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,73.4068352
POL,Poland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,68.2859676
PRT,Portugal,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,51.68694425
LUX,Luxembourg,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,84.75969258
LTU,Lithuania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,75.86079862
EST,Estonia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,72.85023131
HUN,Hungary,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,58.88005312
LVA,Latvia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,68.87583945
SWE,Sweden,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,91.39688088
FIN,Finland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,93.88114737
GBR,United Kingdom,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,56.90434222
CHE,Switzerland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,69.53144407
AUT,Austria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,77.25252748
NOR,Norway,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,66.43005194
IRL,Ireland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,71.30544337
ISL,Iceland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,39.43915015
SVK,Slovak Republic,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,78.72563231
SVN,Slovenia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,59.66128104
ROU,Romania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,40.28945422
HRV,Croatia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,58.59295381
BGR,Bulgaria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2018,61.22030035
DNK,Denmark,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,58.81582807
ITA,Italy,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,61.94855829
NLD,Netherlands,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,77.82013496
DEU,Germany,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,67.50849913
FRA,France,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,61.89380523
GRC,Greece,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,69.46991504
BEL,Belgium,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,57.35329644
CZE,Czechia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,86.38249548
ESP,Spain,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,72.3320998
POL,Poland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,69.71028985
PRT,Portugal,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,49.88195567
LUX,Luxembourg,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,83.55596843
LTU,Lithuania,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,75.78816694
EST,Estonia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,75.06893014
HUN,Hungary,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,58.69330918
LVA,Latvia,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,68.49447841
SWE,Sweden,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,91.46089643
FIN,Finland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,94.43531491
GBR,United Kingdom,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,58.02470019
CHE,Switzerland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,69.53179113
AUT,Austria,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,77.44684168
NOR,Norway,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,66.20989174
IRL,Ireland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,71.08577405
ISL,Iceland,Access to green space,PT_POP_URB,Percentage of urban population,Total,Total,Total,Environmental quality,2012,37.66362881
